id,incident_type,severity,priority,description,latitude,longitude
234,medical,critical,1,Urgent: Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis. Dispatch immediately.,13.060578,77.558591
235,other,high,2,Caller reports: Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Please send backup.,12.959396,77.782281
236,industrial_accident,medium,3,"Caller reports: Forklift collided with storage shelving, non-hazardous goods spilled across aisle. Please send backup.",13.112306,77.735537
237,medical,high,2,"911 Call log: Diabetic emergency, patient unresponsive with extremely low blood sugar reading. Caller very distressed.",13.02232,77.749575
238,road_accident,low,4,"Urgent: Rear mirror collision in slow-moving traffic jam, no injuries. Dispatch immediately.",13.018584,77.488508
239,other,medium,3,Citizen emergency report: Traffic signal outage at four-way intersection causing chaotic vehicular gridlock. Situation escalating.,13.070307,77.568189
240,fire,low,4,Controlled agricultural burn producing slight smoke in rural boundary. Emergency personnel dispatched.,12.838146,77.514386
241,fire,critical,1,911 Call log: Massive explosion at chemical factory! Multiple workers trapped inside and flames spreading to adjacent units. Caller very distressed.,13.090057,77.511947
242,industrial_accident,low,4,"Sensor alert: Minor coolant drip from CNC machine, maintenance team handling. Automatic threshold exceeded.",12.869279,77.559421
243,other,medium,3,Sensor alert: Water main pipe burst flooding intersection and disrupting local drinking water supply. Automatic threshold exceeded.,12.841628,77.638397
244,road_accident,critical,1,"Citizen emergency report: Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage. Situation escalating.",12.970667,77.627863
245,flood,low,4,"Field team update: Minor gutter seepage in lane 5, no property damage. Responders on scene request assistance.",12.955428,77.661336
246,road_accident,medium,3,"Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion.",12.83479,77.571292
247,industrial_accident,low,4,Field team update: Safety inspection protocol test run at logistics depot. Responders on scene request assistance.,13.027175,77.564324
248,industrial_accident,critical,1,"Field team update: Radiation warning alarm triggered in testing lab, immediate hazmat response required. Responders on scene request assistance.",12.851287,77.548477
249,road_accident,low,4,"Citizen emergency report: Minor scratch collision in shopping mall parking lot, drivers arguing over insurance. Situation escalating.",12.924146,77.538184
250,industrial_accident,high,2,"Urgent: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Dispatch immediately.",13.162778,77.657892
251,industrial_accident,critical,1,"Urgent: Ammonia gas leak detected at cold storage facility, 15 workers unconscious and mass casualty alert sounded. Dispatch immediately.",13.135847,77.692669
252,industrial_accident,high,2,"911 Call log: Corrosive acid tank valve leak in industrial zone, perimeter cordoned off. Caller very distressed.",12.859202,77.470653
253,industrial_accident,critical,1,"Caller reports: Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris. Please send backup.",13.132961,77.653136
254,industrial_accident,high,2,"Urgent: Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed. Dispatch immediately.",13.00343,77.687544
255,fire,medium,3,"911 Call log: Car engine caught fire on roadside shoulder, driver is out safely, no injuries. Caller very distressed.",13.070592,77.464856
256,flood,critical,1,"Catastrophic urban flash flooding, basement parking submerged with people trapped inside elevator.",12.972318,77.503611
257,flood,high,2,"River water level rising above danger mark, low-lying slums being evacuated. Emergency personnel dispatched.",13.158554,77.512657
258,industrial_accident,medium,3,"Machine malfunction at textile plant, one worker hand injury, first aid dispatched. Emergency personnel dispatched.",13.156757,77.450903
259,flood,low,4,Surface water pooling near park entrance following light drizzle. Perimeter needs to be secured.,13.158508,77.716435
260,industrial_accident,low,4,Precautionary fire alarm triggered in server room due to dust buildup. Perimeter needs to be secured.,12.777167,77.609229
261,road_accident,medium,3,"Field team update: Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Responders on scene request assistance.",13.005424,77.723567
262,industrial_accident,low,4,Citizen emergency report: Precautionary fire alarm triggered in server room due to dust buildup. Situation escalating.,12.960191,77.642419
263,medical,high,2,"Citizen emergency report: Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Situation escalating.",13.030661,77.648762
264,road_accident,medium,3,"Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Perimeter needs to be secured.",12.81827,77.412739
265,fire,high,2,"Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Emergency personnel dispatched.",12.818048,77.48852
266,medical,high,2,"Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Perimeter needs to be secured.",12.953058,77.662794
267,other,low,4,Lost personal belongings reported near central bus terminal. Perimeter needs to be secured.,13.006536,77.68524
268,road_accident,high,2,"High-speed SUV rollover crash on expressway, 3 passengers unconscious and trapped inside vehicle. Emergency personnel dispatched.",13.017861,77.770221
269,industrial_accident,critical,1,"911 Call log: Ammonia gas leak detected at cold storage facility, 15 workers unconscious and mass casualty alert sounded. Caller very distressed.",12.858508,77.572478
270,flood,low,4,"Caller reports: Minor gutter seepage in lane 5, no property damage. Please send backup.",13.163971,77.541534
271,other,high,2,"Urgent: Active gas smell in dense residential neighborhood, multiple residents reporting nausea. Dispatch immediately.",12.930856,77.470523
272,fire,low,4,Caller reports: Smoldering campfire remains found in picnic clearing. Please send backup.,13.036707,77.651282
273,medical,low,4,"Urgent: Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice. Dispatch immediately.",13.086318,77.492028
274,flood,critical,1,"Caller reports: Reservoir dam overflow causing rapid surge, bridge washed away, several vehicles swept away with passengers. Please send backup.",13.103527,77.616283
275,medical,medium,3,"Citizen emergency report: Deep kitchen laceration on hand bleeding steadily, direct pressure applied, stitches required. Situation escalating.",12.903024,77.453622
276,medical,low,4,"Field team update: Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice. Responders on scene request assistance.",13.114962,77.452475
277,flood,critical,1,"Sensor alert: Catastrophic urban flash flooding, basement parking submerged with people trapped inside elevator. Automatic threshold exceeded.",12.815571,77.741179
278,flood,critical,1,"911 Call log: River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops. Caller very distressed.",13.087594,77.489773
279,industrial_accident,medium,3,"Sensor alert: Machine malfunction at textile plant, one worker hand injury, first aid dispatched. Automatic threshold exceeded.",12.877747,77.445303
280,road_accident,high,2,"Caller reports: High-speed SUV rollover crash on expressway, 3 passengers unconscious and trapped inside vehicle. Please send backup.",12.962098,77.705807
281,medical,critical,1,"Cardiac arrest in public transit station, 55-year-old male unresponsive, bystander CPR in progress. Emergency personnel dispatched.",12.973135,77.772766
282,fire,high,2,"Field team update: Electrical substation transformer caught fire, loud buzzing and thick smoke in residential area. Responders on scene request assistance.",12.954817,77.78021
283,fire,high,2,"Vehicle pileup caught fire on national highway, two cars burning with people trapped. Perimeter needs to be secured.",12.942109,77.437785
284,other,low,4,Caller reports: Streetlight pole flickering in alleyway behind library. Please send backup.,13.131307,77.523445
285,flood,critical,1,"Sensor alert: River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops. Automatic threshold exceeded.",12.881606,77.647831
286,medical,high,2,"Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Perimeter needs to be secured.",13.169451,77.606823
287,road_accident,medium,3,"Caller reports: Delivery van rear-ended stationary car at red light, minor bumper damage and neck pain reported. Please send backup.",13.088838,77.440366
288,other,high,2,"Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle.",13.059936,77.480609
289,road_accident,medium,3,"Fender bender between taxi and city bus blocking two lanes of traffic, no serious injuries. Perimeter needs to be secured.",12.907173,77.576
290,road_accident,high,2,"911 Call log: High-speed SUV rollover crash on expressway, 3 passengers unconscious and trapped inside vehicle. Caller very distressed.",12.942306,77.660643
291,industrial_accident,low,4,Precautionary fire alarm triggered in server room due to dust buildup. Emergency personnel dispatched.,12.798453,77.727309
292,fire,medium,3,Caller reports: Small smoke coming from air conditioning unit on second floor office. Please send backup.,13.069436,77.543659
293,flood,critical,1,"River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops.",12.996273,77.662605
294,road_accident,high,2,"Pedestrian struck by speeding vehicle at pedestrian crossing, severe head injuries. Perimeter needs to be secured.",13.118837,77.683024
295,industrial_accident,high,2,"911 Call log: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Caller very distressed.",12.81304,77.597565
296,flood,critical,1,"Citizen emergency report: Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Situation escalating.",13.11051,77.534646
297,medical,high,2,"Caller reports: Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Please send backup.",13.076642,77.62424
298,road_accident,high,2,"Field team update: High-speed SUV rollover crash on expressway, 3 passengers unconscious and trapped inside vehicle. Responders on scene request assistance.",12.783181,77.503908
299,industrial_accident,high,2,"911 Call log: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Caller very distressed.",12.774042,77.742545
300,medical,medium,3,"Caller reports: Moderate allergic reaction with hives and facial itching after bee sting, breathing normal. Please send backup.",12.82835,77.647869
301,fire,critical,1,Massive explosion at chemical factory! Multiple workers trapped inside and flames spreading to adjacent units.,12.857653,77.562533
302,industrial_accident,medium,3,"911 Call log: Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Caller very distressed.",12.896255,77.524353
303,medical,medium,3,"Urgent: Adult with high fever, vomiting, and suspected acute dehydration requesting ambulance transport. Dispatch immediately.",12.833832,77.696374
304,fire,high,2,"Field team update: Apartment fire on third floor, flames visible from balcony. Residents evacuating, 2 people suffering from smoke inhalation. Responders on scene request assistance.",12.948845,77.564206
305,medical,low,4,Routine non-emergency patient transport requested for scheduled dialysis appointment. Perimeter needs to be secured.,12.880867,77.696577
306,fire,low,4,"Extinguished kitchen pan fire, caller requesting precautionary smoke inspection. Perimeter needs to be secured.",12.815956,77.665887
307,medical,medium,3,"Moderate allergic reaction with hives and facial itching after bee sting, breathing normal.",13.038453,77.412767
308,road_accident,critical,1,"Urgent: Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage. Dispatch immediately.",12.774675,77.515168
309,flood,medium,3,Field team update: Storm drain overflowing onto pedestrian sidewalk and parking lot. Responders on scene request assistance.,12.887379,77.442594
310,road_accident,low,4,"Rear mirror collision in slow-moving traffic jam, no injuries. Perimeter needs to be secured.",12.841878,77.546683
311,other,low,4,Noise complaint regarding loud late-night construction work.,12.995089,77.661819
312,industrial_accident,low,4,Precautionary fire alarm triggered in server room due to dust buildup. Perimeter needs to be secured.,13.116306,77.411521
313,fire,critical,1,Caller reports: Industrial gas pipeline rupture with huge fireball and multiple injured workers trapped in plant area. Please send backup.,13.116444,77.624904
314,medical,medium,3,"Moderate allergic reaction with hives and facial itching after bee sting, breathing normal. Perimeter needs to be secured.",12.887406,77.556613
315,industrial_accident,medium,3,"Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Emergency personnel dispatched.",13.10441,77.762508
316,fire,medium,3,Caller reports: Small smoke coming from air conditioning unit on second floor office. Please send backup.,12.868927,77.630149
317,medical,critical,1,"Cardiac arrest in public transit station, 55-year-old male unresponsive, bystander CPR in progress. Perimeter needs to be secured.",13.11981,77.692922
318,flood,low,4,"Sensor alert: Minor gutter seepage in lane 5, no property damage. Automatic threshold exceeded.",12.802152,77.64789
319,medical,critical,1,"911 Call log: Severe anaphylactic shock at restaurant, patient experiencing respiratory failure and swelling. Caller very distressed.",12.91204,77.777889
320,other,high,2,Citizen emergency report: Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Situation escalating.,12.812722,77.496987
321,flood,high,2,"Caller reports: Underpass completely flooded with 5 feet of water, two cars stuck with passengers waiting on roof. Please send backup.",12.842458,77.703739
322,road_accident,low,4,"Stationary vehicle tire puncture on highway shoulder, hazard lights on. Emergency personnel dispatched.",13.044053,77.747419
323,other,high,2,"911 Call log: Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle. Caller very distressed.",13.117299,77.645487
324,flood,critical,1,"Caller reports: Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Please send backup.",12.959168,77.647154
325,industrial_accident,critical,1,"911 Call log: Ammonia gas leak detected at cold storage facility, 15 workers unconscious and mass casualty alert sounded. Caller very distressed.",12.974535,77.518763
326,road_accident,medium,3,"Urgent: Two-car collision at intersection, airbags deployed, drivers have minor cuts and shock. Dispatch immediately.",12.919095,77.509431
327,other,high,2,Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter.,12.925393,77.626732
328,fire,high,2,"Citizen emergency report: Vehicle pileup caught fire on national highway, two cars burning with people trapped. Situation escalating.",12.900211,77.584852
329,flood,critical,1,"River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops. Emergency personnel dispatched.",12.813001,77.754251
330,industrial_accident,medium,3,"Machine malfunction at textile plant, one worker hand injury, first aid dispatched.",13.030051,77.410257
331,other,low,4,Streetlight pole flickering in alleyway behind library. Emergency personnel dispatched.,12.981227,77.638522
332,industrial_accident,low,4,"Field team update: Minor coolant drip from CNC machine, maintenance team handling. Responders on scene request assistance.",12.926567,77.704386
333,other,medium,3,"Urgent: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Dispatch immediately.",13.087291,77.653522
334,fire,medium,3,"Caller reports: Car engine caught fire on roadside shoulder, driver is out safely, no injuries. Please send backup.",12.994785,77.549226
335,industrial_accident,critical,1,"911 Call log: Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris. Caller very distressed.",12.804201,77.660045
336,industrial_accident,low,4,"Minor coolant drip from CNC machine, maintenance team handling. Perimeter needs to be secured.",12.823181,77.678134
337,fire,medium,3,"Car engine caught fire on roadside shoulder, driver is out safely, no injuries.",12.922272,77.711265
338,flood,critical,1,"River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops. Perimeter needs to be secured.",12.974995,77.401892
339,industrial_accident,high,2,"Citizen emergency report: Corrosive acid tank valve leak in industrial zone, perimeter cordoned off. Situation escalating.",12.908293,77.701062
340,flood,medium,3,Sensor alert: Storm drain overflowing onto pedestrian sidewalk and parking lot. Automatic threshold exceeded.,12.833578,77.512917
341,fire,low,4,911 Call log: Controlled agricultural burn producing slight smoke in rural boundary. Caller very distressed.,13.122157,77.641813
342,medical,low,4,Sensor alert: Routine non-emergency patient transport requested for scheduled dialysis appointment. Automatic threshold exceeded.,12.836499,77.727138
343,medical,low,4,"Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice. Emergency personnel dispatched.",12.789077,77.54032
344,flood,low,4,"Field team update: Minor gutter seepage in lane 5, no property damage. Responders on scene request assistance.",13.072556,77.70812
345,flood,low,4,Citizen emergency report: Surface water pooling near park entrance following light drizzle. Situation escalating.,12.895387,77.71805
346,road_accident,low,4,"911 Call log: Minor scratch collision in shopping mall parking lot, drivers arguing over insurance. Caller very distressed.",13.042923,77.622768
347,road_accident,medium,3,"Field team update: Delivery van rear-ended stationary car at red light, minor bumper damage and neck pain reported. Responders on scene request assistance.",13.08285,77.595763
348,road_accident,high,2,"Citizen emergency report: School van collision with pickup truck, 4 children injured, immediate medical dispatch requested. Situation escalating.",13.092104,77.449959
349,industrial_accident,critical,1,"Ammonia gas leak detected at cold storage facility, 15 workers unconscious and mass casualty alert sounded. Emergency personnel dispatched.",13.121247,77.616416
350,fire,low,4,Field team update: Controlled agricultural burn producing slight smoke in rural boundary. Responders on scene request assistance.,12.80515,77.458725
351,road_accident,medium,3,"Fender bender between taxi and city bus blocking two lanes of traffic, no serious injuries. Perimeter needs to be secured.",12.808285,77.758802
352,road_accident,medium,3,"Urgent: Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Dispatch immediately.",12.937559,77.553182
353,industrial_accident,low,4,Precautionary fire alarm triggered in server room due to dust buildup. Perimeter needs to be secured.,13.16941,77.544565
354,fire,critical,1,"Caller reports: Severe fire outbreak in downtown commercial complex, heavy black smoke, structural collapse imminent. Please send backup.",13.107271,77.654584
355,flood,critical,1,"Urgent: Reservoir dam overflow causing rapid surge, bridge washed away, several vehicles swept away with passengers. Dispatch immediately.",12.886352,77.726505
356,other,low,4,Noise complaint regarding loud late-night construction work. Emergency personnel dispatched.,12.951041,77.3967
357,fire,medium,3,Field team update: Small dumpster fire in alleyway behind supermarket. No structures currently threatened. Responders on scene request assistance.,12.857862,77.454408
358,medical,low,4,"Minor nosebleed that has subsided, caller asking for precautionary check. Perimeter needs to be secured.",12.816075,77.509841
359,industrial_accident,high,2,"Urgent: Crane collapse at major construction site, operator injured and high-voltage power lines snapped. Dispatch immediately.",12.866976,77.650181
360,medical,low,4,Caller reports: Routine non-emergency patient transport requested for scheduled dialysis appointment. Please send backup.,12.815943,77.756659
361,medical,low,4,"Urgent: Minor nosebleed that has subsided, caller asking for precautionary check. Dispatch immediately.",13.024382,77.624619
362,other,low,4,Field team update: Noise complaint regarding loud late-night construction work. Responders on scene request assistance.,12.943296,77.640524
363,flood,low,4,Surface water pooling near park entrance following light drizzle. Perimeter needs to be secured.,12.846526,77.661886
364,medical,critical,1,"Caller reports: Child drowning incident in municipal swimming pool, unconscious, not breathing, AED required immediately. Please send backup.",13.152961,77.612233
365,medical,critical,1,"Cardiac arrest in public transit station, 55-year-old male unresponsive, bystander CPR in progress. Perimeter needs to be secured.",13.120933,77.412014
366,road_accident,critical,1,"Field team update: Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard. Responders on scene request assistance.",13.070527,77.537438
367,fire,medium,3,"Citizen emergency report: Car engine caught fire on roadside shoulder, driver is out safely, no injuries. Situation escalating.",13.064776,77.645903
368,medical,medium,3,"Sensor alert: Sprained ankle and contusions after slipping on wet steps, patient unable to bear weight. Automatic threshold exceeded.",12.789334,77.613005
369,other,high,2,Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Emergency personnel dispatched.,13.163928,77.586012
370,flood,high,2,"Caller reports: Underpass completely flooded with 5 feet of water, two cars stuck with passengers waiting on roof. Please send backup.",13.058018,77.772042
371,fire,high,2,"Citizen emergency report: Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Situation escalating.",12.789123,77.474388
372,fire,high,2,"Field team update: Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Responders on scene request assistance.",12.977753,77.790249
373,medical,high,2,"Field team update: Diabetic emergency, patient unresponsive with extremely low blood sugar reading. Responders on scene request assistance.",12.786248,77.65336
374,industrial_accident,high,2,"Urgent: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Dispatch immediately.",13.117919,77.52737
375,fire,low,4,"Extinguished kitchen pan fire, caller requesting precautionary smoke inspection. Perimeter needs to be secured.",13.127395,77.691923
376,road_accident,critical,1,"Sensor alert: Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard. Automatic threshold exceeded.",12.970081,77.593609
377,medical,critical,1,"Caller reports: Child drowning incident in municipal swimming pool, unconscious, not breathing, AED required immediately. Please send backup.",13.062433,77.426171
378,medical,low,4,"Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice.",12.889107,77.435639
379,industrial_accident,medium,3,Field team update: Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B. Responders on scene request assistance.,12.949966,77.681665
380,flood,high,2,"911 Call log: Main drainage choked, waist-deep water flooding commercial district streets. Caller very distressed.",12.950452,77.685326
381,industrial_accident,low,4,Safety inspection protocol test run at logistics depot. Perimeter needs to be secured.,12.881422,77.786611
382,fire,high,2,"Apartment fire on third floor, flames visible from balcony. Residents evacuating, 2 people suffering from smoke inhalation. Perimeter needs to be secured.",12.916924,77.715038
383,other,medium,3,Urgent: Water main pipe burst flooding intersection and disrupting local drinking water supply. Dispatch immediately.,12.828712,77.637629
384,road_accident,medium,3,"Sensor alert: Two-car collision at intersection, airbags deployed, drivers have minor cuts and shock. Automatic threshold exceeded.",12.798493,77.706006
385,industrial_accident,low,4,"Minor coolant drip from CNC machine, maintenance team handling. Perimeter needs to be secured.",13.151387,77.407554
386,flood,critical,1,"911 Call log: Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Caller very distressed.",12.920405,77.699834
387,medical,medium,3,"Deep kitchen laceration on hand bleeding steadily, direct pressure applied, stitches required.",12.91838,77.520354
388,industrial_accident,critical,1,"Caller reports: Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris. Please send backup.",12.781965,77.469019
389,medical,critical,1,Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis.,12.818704,77.704586
390,other,low,4,Citizen emergency report: Streetlight pole flickering in alleyway behind library. Situation escalating.,13.170146,77.508831
391,road_accident,low,4,"Caller reports: Minor scratch collision in shopping mall parking lot, drivers arguing over insurance. Please send backup.",12.825891,77.424221
392,flood,high,2,"Caller reports: Main drainage choked, waist-deep water flooding commercial district streets. Please send backup.",13.095805,77.781624
393,industrial_accident,medium,3,Caller reports: Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B. Please send backup.,12.991599,77.510745
394,industrial_accident,high,2,"Sensor alert: Corrosive acid tank valve leak in industrial zone, perimeter cordoned off. Automatic threshold exceeded.",13.089079,77.598102
395,fire,low,4,"Sensor alert: Unattended small bonfire in public park, no immediate danger. Automatic threshold exceeded.",12.866294,77.592209
396,industrial_accident,low,4,911 Call log: Safety inspection protocol test run at logistics depot. Caller very distressed.,12.958562,77.787805
397,flood,critical,1,"Caller reports: River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops. Please send backup.",12.895316,77.794438
398,road_accident,low,4,"Rear mirror collision in slow-moving traffic jam, no injuries. Perimeter needs to be secured.",13.079266,77.723936
399,fire,medium,3,"911 Call log: Dry grass fire in vacant plot near railway track, smoke blowing towards road. Caller very distressed.",13.028535,77.57459
400,other,medium,3,"911 Call log: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Caller very distressed.",12.822934,77.726221
401,medical,high,2,"Sensor alert: Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Automatic threshold exceeded.",12.944647,77.758885
402,fire,high,2,"Apartment fire on third floor, flames visible from balcony. Residents evacuating, 2 people suffering from smoke inhalation.",12.832806,77.460463
403,industrial_accident,medium,3,"911 Call log: Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Caller very distressed.",13.150593,77.602159
404,industrial_accident,high,2,"Field team update: Crane collapse at major construction site, operator injured and high-voltage power lines snapped. Responders on scene request assistance.",12.850121,77.777141
405,industrial_accident,critical,1,"Field team update: Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris. Responders on scene request assistance.",13.017371,77.431971
406,other,high,2,Sensor alert: Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Automatic threshold exceeded.,12.84008,77.644392
407,medical,low,4,Urgent: Routine non-emergency patient transport requested for scheduled dialysis appointment. Dispatch immediately.,13.101695,77.405949
408,fire,high,2,"Field team update: Electrical substation transformer caught fire, loud buzzing and thick smoke in residential area. Responders on scene request assistance.",13.032052,77.701384
409,road_accident,high,2,"High-speed SUV rollover crash on expressway, 3 passengers unconscious and trapped inside vehicle. Emergency personnel dispatched.",13.127199,77.612831
410,other,high,2,"Active gas smell in dense residential neighborhood, multiple residents reporting nausea. Emergency personnel dispatched.",12.869551,77.71754
411,road_accident,critical,1,"Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard. Emergency personnel dispatched.",12.800789,77.418565
412,road_accident,medium,3,"Delivery van rear-ended stationary car at red light, minor bumper damage and neck pain reported. Emergency personnel dispatched.",12.957377,77.530677
413,flood,critical,1,"911 Call log: Catastrophic urban flash flooding, basement parking submerged with people trapped inside elevator. Caller very distressed.",13.06528,77.738911
414,road_accident,critical,1,"911 Call log: Mass casualty collision: intercity bus overturned on highway ravine, over 30 passengers severely injured and trapped. Caller very distressed.",12.977592,77.437074
415,flood,low,4,"Caller reports: Minor gutter seepage in lane 5, no property damage. Please send backup.",12.878589,77.493768
416,fire,low,4,Field team update: Controlled agricultural burn producing slight smoke in rural boundary. Responders on scene request assistance.,13.149754,77.740266
417,road_accident,high,2,"Sensor alert: School van collision with pickup truck, 4 children injured, immediate medical dispatch requested. Automatic threshold exceeded.",13.096991,77.768101
418,industrial_accident,medium,3,"Sensor alert: Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Automatic threshold exceeded.",12.970906,77.60049
419,road_accident,low,4,"Stationary vehicle tire puncture on highway shoulder, hazard lights on. Emergency personnel dispatched.",12.780871,77.772693
420,medical,critical,1,Citizen emergency report: Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis. Situation escalating.,12.857658,77.535758
421,fire,high,2,"Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Emergency personnel dispatched.",13.010608,77.73174
422,other,medium,3,Field team update: Traffic signal outage at four-way intersection causing chaotic vehicular gridlock. Responders on scene request assistance.,12.986276,77.733469
423,road_accident,high,2,"Field team update: School van collision with pickup truck, 4 children injured, immediate medical dispatch requested. Responders on scene request assistance.",13.062603,77.700143
424,industrial_accident,low,4,Precautionary fire alarm triggered in server room due to dust buildup. Perimeter needs to be secured.,12.792063,77.619327
425,industrial_accident,low,4,Field team update: Safety inspection protocol test run at logistics depot. Responders on scene request assistance.,12.801013,77.596302
426,medical,high,2,"Caller reports: Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Please send backup.",12.823065,77.433273
427,industrial_accident,low,4,"Minor coolant drip from CNC machine, maintenance team handling.",13.147179,77.696586
428,flood,medium,3,"Road flooded after heavy downpour, passenger vehicles having difficulty crossing.",12.787702,77.410166
429,other,low,4,Streetlight pole flickering in alleyway behind library. Emergency personnel dispatched.,12.979333,77.454176
430,medical,critical,1,"911 Call log: Severe anaphylactic shock at restaurant, patient experiencing respiratory failure and swelling. Caller very distressed.",13.144147,77.522012
431,road_accident,critical,1,"Field team update: Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage. Responders on scene request assistance.",13.00909,77.597526
432,medical,critical,1,Field team update: Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis. Responders on scene request assistance.,12.961557,77.401255
433,industrial_accident,medium,3,"Machine malfunction at textile plant, one worker hand injury, first aid dispatched. Perimeter needs to be secured.",13.005081,77.713302
434,other,low,4,Urgent: Lost personal belongings reported near central bus terminal. Dispatch immediately.,13.010364,77.500812
435,other,high,2,"Citizen emergency report: Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle. Situation escalating.",13.06016,77.628009
436,flood,high,2,"Sensor alert: Main drainage choked, waist-deep water flooding commercial district streets. Automatic threshold exceeded.",13.100265,77.491479
437,medical,medium,3,"Citizen emergency report: Adult with high fever, vomiting, and suspected acute dehydration requesting ambulance transport. Situation escalating.",12.779175,77.520077
438,flood,critical,1,"Citizen emergency report: Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Situation escalating.",12.935751,77.704589
439,road_accident,low,4,"Urgent: Rear mirror collision in slow-moving traffic jam, no injuries. Dispatch immediately.",13.05391,77.602073
440,medical,high,2,"Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Emergency personnel dispatched.",12.981791,77.520101
441,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets.",12.908531,77.536315
442,other,medium,3,"Field team update: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Responders on scene request assistance.",13.015631,77.471506
443,flood,low,4,"Minor gutter seepage in lane 5, no property damage.",12.891,77.771194
444,industrial_accident,high,2,"Citizen emergency report: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Situation escalating.",13.047696,77.590201
445,road_accident,low,4,"Stationary vehicle tire puncture on highway shoulder, hazard lights on.",13.14508,77.712762
446,industrial_accident,critical,1,"Caller reports: Toxic chemical spill of chlorine gas, corrosive cloud spreading towards residential colony. Please send backup.",13.000991,77.611876
